full_name,stars,watchers,forks,stars_delta,watchers_delta,forks_delta,url
anthropics/claude-code,77336,77336,6294,112,112,8,https://github.com/anthropics/claude-code
affaan-m/everything-claude-code,73903,73903,9244,320,320,31,https://github.com/affaan-m/everything-claude-code
shareAI-lab/learn-claude-code,25722,25722,4619,149,149,28,https://github.com/shareAI-lab/learn-claude-code
musistudio/claude-code-router,29566,29566,2271,21,21,1,https://github.com/musistudio/claude-code-router
davila7/claude-code-templates,22832,22832,2174,14,14,0,https://github.com/davila7/claude-code-templates
hesreallyhim/awesome-claude-code,27759,27759,1813,49,49,2,https://github.com/hesreallyhim/awesome-claude-code
anthropics/claude-code-action,6231,6231,1540,5,5,0,https://github.com/anthropics/claude-code-action
VoltAgent/awesome-claude-code-subagents,13592,13592,1506,28,28,2,https://github.com/VoltAgent/awesome-claude-code-subagents
shanraisshan/claude-code-best-practice,13984,13984,1317,130,130,12,https://github.com/shanraisshan/claude-code-best-practice
diet103/claude-code-infrastructure-showcase,9235,9235,1193,1,1,0,https://github.com/diet103/claude-code-infrastructure-showcase
frankbria/ralph-claude-code,7773,7773,555,11,11,1,https://github.com/frankbria/ralph-claude-code
Piebald-AI/claude-code-system-prompts,5788,5788,802,16,16,2,https://github.com/Piebald-AI/claude-code-system-prompts
OneRedOak/claude-code-workflows,3706,3706,545,0,0,0,https://github.com/OneRedOak/claude-code-workflows
ChrisWiles/claude-code-showcase,5504,5504,470,1,1,0,https://github.com/ChrisWiles/claude-code-showcase
1rgs/claude-code-proxy,3208,3208,424,0,0,0,https://github.com/1rgs/claude-code-proxy
disler/claude-code-hooks-mastery,3293,3293,574,4,4,0,https://github.com/disler/claude-code-hooks-mastery
zebbern/claude-code-guide,3587,3587,333,0,0,0,https://github.com/zebbern/claude-code-guide
ykdojo/claude-code-tips,4469,4469,317,4,4,0,https://github.com/ykdojo/claude-code-tips
pedrohcgs/claude-code-my-workflow,619,619,1054,2,2,3,https://github.com/pedrohcgs/claude-code-my-workflow
kodu-ai/claude-coder,5288,5288,199,0,0,0,https://github.com/kodu-ai/claude-coder
Yuyz0112/claude-code-reverse,2191,2191,365,0,0,0,https://github.com/Yuyz0112/claude-code-reverse
Maciek-roboblog/Claude-Code-Usage-Monitor,6927,6927,338,7,7,0,https://github.com/Maciek-roboblog/Claude-Code-Usage-Monitor
anthropics/skills,92201,92201,9865,278,278,32,https://github.com/anthropics/skills
fuergaosi233/claude-code-proxy,2146,2146,309,4,4,1,https://github.com/fuergaosi233/claude-code-proxy
qwibitai/nanoclaw,22121,22121,4754,71,71,61,https://github.com/qwibitai/nanoclaw
Cranot/claude-code-guide,2471,2471,261,1,1,0,https://github.com/Cranot/claude-code-guide
anthropics/claude-code-security-review,3754,3754,311,2,2,1,https://github.com/anthropics/claude-code-security-review
RichardAtCT/claude-code-telegram,2037,2037,258,0,0,0,https://github.com/RichardAtCT/claude-code-telegram
anthropics/claude-code-base-action,602,602,590,0,0,0,https://github.com/anthropics/claude-code-base-action
router-for-me/CLIProxyAPI,15988,15988,2595,85,85,10,https://github.com/router-for-me/CLIProxyAPI
edmund-io/edmunds-claude-code,1310,1310,271,0,0,0,https://github.com/edmund-io/edmunds-claude-code
https-deeplearning-ai/sc-claude-code-files,449,449,607,0,0,2,https://github.com/https-deeplearning-ai/sc-claude-code-files
Pimzino/claude-code-spec-workflow,3518,3518,248,2,2,0,https://github.com/Pimzino/claude-code-spec-workflow
ding113/claude-code-hub,1806,1806,222,19,19,5,https://github.com/ding113/claude-code-hub
wshobson/agents,31123,31123,3411,18,18,2,https://github.com/wshobson/agents
eyaltoledano/claude-task-master,25904,25904,2452,1,1,0,https://github.com/eyaltoledano/claude-task-master
snarktank/ralph,12777,12777,1351,23,23,2,https://github.com/snarktank/ralph
siteboon/claudecodeui,8345,8345,1067,20,20,2,https://github.com/siteboon/claudecodeui
EveryInc/compound-engineering-plugin,10324,10324,819,8,8,0,https://github.com/EveryInc/compound-engineering-plugin
feiskyer/claude-code-settings,1298,1298,191,0,0,0,https://github.com/feiskyer/claude-code-settings
obra/superpowers,80536,80536,6240,514,514,45,https://github.com/obra/superpowers
carlvellotti/claude-code-pm-course,1617,1617,240,2,2,0,https://github.com/carlvellotti/claude-code-pm-course
sugyan/claude-code-webui,958,958,219,0,0,0,https://github.com/sugyan/claude-code-webui
ghuntley/claude-code-source-code-deobfuscation,859,859,420,0,0,0,https://github.com/ghuntley/claude-code-source-code-deobfuscation
lst97/claude-code-sub-agents,1459,1459,235,0,0,0,https://github.com/lst97/claude-code-sub-agents
FlorianBruniaux/claude-code-ultimate-guide,1356,1356,240,6,6,1,https://github.com/FlorianBruniaux/claude-code-ultimate-guide
nishimoto265/Claude-Code-Communication,493,493,239,0,0,0,https://github.com/nishimoto265/Claude-Code-Communication
sickn33/antigravity-awesome-skills,23825,23825,4097,100,100,13,https://github.com/sickn33/antigravity-awesome-skills
darcyegb/ClaudeCodeAgents,590,590,53,2,2,0,https://github.com/darcyegb/ClaudeCodeAgents
github/spec-kit,76334,76334,6501,72,72,7,https://github.com/github/spec-kit
centminmod/my-claude-code-setup,1962,1962,182,1,1,0,https://github.com/centminmod/my-claude-code-setup
bfly123/claude_code_bridge,1566,1566,142,7,7,1,https://github.com/bfly123/claude_code_bridge
zhukunpenglinyutong/idea-claude-code-gui,1636,1636,188,6,6,1,https://github.com/zhukunpenglinyutong/idea-claude-code-gui
rizethereum/claude-code-requirements-builder,1754,1754,173,0,0,0,https://github.com/rizethereum/claude-code-requirements-builder
slopus/happy,15035,15035,1169,32,32,6,https://github.com/slopus/happy
Njengah/claude-code-cheat-sheet,1421,1421,181,2,2,0,https://github.com/Njengah/claude-code-cheat-sheet
andrepimenta/claude-code-chat,1000,1000,154,0,0,0,https://github.com/andrepimenta/claude-code-chat
trailofbits/claude-code-config,1574,1574,120,1,1,0,https://github.com/trailofbits/claude-code-config
steipete/claude-code-mcp,1170,1170,142,0,0,0,https://github.com/steipete/claude-code-mcp
disler/claude-code-hooks-multi-agent-observability,1260,1260,354,0,0,0,https://github.com/disler/claude-code-hooks-multi-agent-observability
anthropics/claude-plugins-official,10440,10440,1053,147,147,14,https://github.com/anthropics/claude-plugins-official
catlog22/Claude-Code-Workflow,1468,1468,121,3,3,0,https://github.com/catlog22/Claude-Code-Workflow
farion1231/cc-switch,27519,27519,1672,197,197,13,https://github.com/farion1231/cc-switch
JessyTsui/Claude-Code-Remote,1159,1159,124,0,0,0,https://github.com/JessyTsui/Claude-Code-Remote
simonw/claude-code-transcripts,1124,1124,126,1,1,0,https://github.com/simonw/claude-code-transcripts
jeremylongshore/claude-code-plugins-plus-skills,1599,1599,194,5,5,2,https://github.com/jeremylongshore/claude-code-plugins-plus-skills
peterkrueck/Claude-Code-Development-Kit,1324,1324,152,0,0,0,https://github.com/peterkrueck/Claude-Code-Development-Kit
jarrodwatts/claude-code-config,978,978,122,0,0,0,https://github.com/jarrodwatts/claude-code-config
0xfurai/claude-code-subagents,769,769,140,-1,-1,0,https://github.com/0xfurai/claude-code-subagents
winfunc/opcode,20902,20902,1608,4,4,0,https://github.com/winfunc/opcode
pchalasani/claude-code-tools,1577,1577,100,0,0,0,https://github.com/pchalasani/claude-code-tools
alirezarezvani/claude-code-tresor,606,606,141,0,0,0,https://github.com/alirezarezvani/claude-code-tresor
KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh,1923,1923,301,16,16,2,https://github.com/KimYx0207/Claude-Code-x-OpenClaw-Guide-Zh
d-kimuson/claude-code-viewer,963,963,110,0,0,0,https://github.com/d-kimuson/claude-code-viewer
wasabeef/claude-code-cookbook,1035,1035,111,1,1,0,https://github.com/wasabeef/claude-code-cookbook
ComposioHQ/awesome-claude-skills,43557,43557,4380,87,87,10,https://github.com/ComposioHQ/awesome-claude-skills
revfactory/claude-code-mastering,761,761,124,1,1,0,https://github.com/revfactory/claude-code-mastering
Alishahryar1/free-claude-code,921,921,111,1,1,0,https://github.com/Alishahryar1/free-claude-code
cixingguangming55555/wechat-bot,2534,2534,664,0,0,-1,https://github.com/cixingguangming55555/wechat-bot
anthropics/claude-agent-sdk-demos,1683,1683,262,2,2,1,https://github.com/anthropics/claude-agent-sdk-demos
ericbuess/claude-code-docs,729,729,105,0,0,0,https://github.com/ericbuess/claude-code-docs
Yeachan-Heo/oh-my-claudecode,9549,9549,671,53,53,0,https://github.com/Yeachan-Heo/oh-my-claudecode
numman-ali/openskills,8991,8991,572,6,6,0,https://github.com/numman-ali/openskills
alirezarezvani/claude-skills,4695,4695,519,85,85,8,https://github.com/alirezarezvani/claude-skills
